num_cells,deltaBIC,params1,params2,model1BIC,model2BIC,num_cells_nonzero_AD,total_DP,median_DP,total_AD,median_AD,new_mutation,as_mutation,fraction_b_allele,num_cells_minor_cpt
4023,142086.19282402823,[0.12340563 1.        ],[0.24765984 0.02424121 0.41813613 0.58186387],229215.24850879997,87129.05568477174,2800,1194324,270.0,147264,16.0,True,False,0.014105086122575654,1682.1616338642516
4023,92097.58716109676,[0.11980188 1.        ],[0.23229024 0.03040676 0.44117702 0.55882298],163233.04717439145,71135.4600132947,3034,962146,216.0,115168,18.0,True,False,0.016991995357290787,1774.8551483347733
4023,49141.32507032632,[0.00530429 1.        ],[6.94380738e-01 4.62889301e-04 9.44568711e-03 9.90554313e-01],55642.007089923194,6500.682019596876,47,999870,226.0,4906,0.0,False,False,0.0004585169936852784,37.999999263356344
4021,29015.09123681014,[0.1063025 1.       ],[0.21677549 0.03658694 0.39786784 0.60213216],65950.16944727272,36935.07821046258,3152,421880,94.0,44760,8.0,True,False,0.022030175197994082,1599.8266006465544
4021,4180.138196869626,[0.08662246 1.        ],[0.12957456 0.05254941 0.47892609 0.52107391],29104.319254039416,24924.18105716979,3811,419210,94.0,36292,8.0,False,False,0.027382125662096548,1925.7618107867436
4023,3513.4222969853454,[0.0021679 1.       ],[5.11882467e-03 3.69488366e-04 3.64570331e-01 6.35429669e-01],16605.765565397654,13092.343268412309,1527,2873570,648.0,5980,0.0,False,False,0.0002347838700656528,1466.666439936242
4023,3447.03448349477,[0.00255084 1.        ],[9.35050185e-03 3.87772840e-04 2.10855809e-01 7.89144191e-01],12296.140637022007,8849.106153527237,718,1346420,294.0,3104,0.0,False,False,0.00030600868439403366,848.2729180776764
4023,3087.688627430757,[0.00233111 1.        ],[9.18666398e-03 4.00526075e-04 1.83937946e-01 8.16062054e-01],11174.79631559723,8087.107688166473,616,1296676,282.0,2682,0.0,False,False,0.0003268541314040727,739.9823560779398
4023,2352.5609119797155,[0.00952386 1.        ],[0.01434912 0.00584877 0.45572861 0.54427139],25102.69595288665,22750.135040906935,3709,2878812,650.0,27386,6.0,False,False,0.003183317046529396,1833.396206789183
4023,2091.227401919732,[0.00597833 1.        ],[0.00326932 0.01006706 0.58623331 0.41376669],22062.185162027414,19970.95776010768,3224,2712112,614.0,16134,4.0,False,False,0.0019165859642310346,1664.5833861885349
4023,2087.182786114532,[0.04317171 1.        ],[0.05407308 0.02939115 0.53838295 0.46161705],26866.272387588357,24779.089601473825,3845,1291860,282.0,55754,12.0,False,False,0.01356745438867139,1857.0854100707952
4022,1994.8975192523321,[0.42902741 1.        ],[0.47814373 0.36977565 0.5569006  0.4430994 ],29725.426515342053,27730.52899608972,4022,404776,92.0,173660,40.0,False,True,0.1638473696572763,1782.1458049787311
3962,1933.1272725957097,[0.08645715 1.        ],[0.12048267 0.04304304 0.51159805 0.48840195],21173.938425721888,19240.81115312618,3158,235844,50.0,20310,4.0,True,False,0.02102230335329425,1935.0485300992968
4023,1738.5845586614005,[4.89054425e-04 1.00000000e+00],[1.09531434e-01 3.43366977e-04 9.97499294e-04 9.99002501e-01],4648.1113796182935,2909.526820956893,23,1341364,294.0,256,0.0,False,False,0.0003430244683025662,4.012939658519832
4023,1641.9028741446855,[0.00639382 1.        ],[0.01032063 0.00232402 0.51184792 0.48815208],18313.615208663836,16671.71233451915,2659,1642586,370.0,10366,2.0,False,False,0.0011344761552053667,1963.8358133827896
4023,1571.390355086205,[0.02782257 1.        ],[0.04010853 0.0180284  0.46015601 0.53984399],23216.59147510394,21645.201120017737,3717,958524,214.0,26638,6.0,False,False,0.009732524447241474,1851.2076295922848
4023,1536.9406630770718,[0.11759889 1.        ],[0.13616298 0.09069448 0.57763777 0.42236223],28402.018058942023,26865.07739586495,4002,838104,186.0,98558,22.0,False,False,0.038305922935530826,1699.1632561807992
4019,1522.9324328126968,[0.04763934 1.        ],[0.02675325 0.06075208 0.44649084 0.55350916],22569.64814509571,21046.715712283014,3476,620208,132.0,29492,6.0,False,False,0.011945081315744146,1794.4466666460478
4023,1493.3785605940134,[4.12092891e-04 1.00000000e+00],[1.97738454e-01 3.34230295e-04 2.48723656e-04 9.99751276e-01],4967.672099006517,3474.2935384125035,100,1820706,392.0,358,0.0,False,False,0.00033414716416080406,1.000615267280135
4023,1464.7895635207788,[0.11791204 1.        ],[0.13773761 0.09331986 0.53998874 0.46001126],28205.674106657778,26740.884543137,4005,849462,188.0,100160,22.0,False,False,0.042928184646210794,1850.6253188339892
4021,1451.8596747571428,[0.19630166 1.        ],[0.22891423 0.16525086 0.47417303 0.52582697],28690.818792828468,27238.959118071325,4009,612166,134.0,120168,26.0,False,True,0.08689335927651727,1906.6497510160902
4023,1442.3764334069165,[0.16048518 1.        ],[0.18479467 0.13478901 0.49931512 0.50068488],29391.828057688133,27949.451624281217,4007,854444,190.0,137124,30.0,False,True,0.06748682089236754,2008.744712832215
4020,1407.5315306377124,[0.04227632 1.        ],[0.02556704 0.05645305 0.51391019 0.48608981],21797.370116651065,20389.838586013353,3424,629752,134.0,26564,4.0,False,False,0.013139162191392984,1954.0810549824148
3978,1399.3002896200815,[0.06140576 1.        ],[0.08954437 0.02341559 0.54155076 0.45844924],17797.808617334267,16398.508327714186,2681,193788,44.0,11770,2.0,False,False,0.010734860473498559,1823.7110934515233
4023,1393.6041111824743,[0.02215976 1.        ],[0.02915828 0.01338466 0.53976203 0.46023797],22835.723483013477,21442.119371831002,3540,1293078,282.0,28606,6.0,False,False,0.006160130531366792,1851.5373695997587
4021,1388.781614224843,[0.01266404 1.        ],[0.02113864 0.00290845 0.5241348  0.4758652 ],15343.991798477522,13955.210184252679,2048,545742,122.0,6714,2.0,False,False,0.0013840310854492974,1913.4539839819363
4023,1375.96372873138,[4.3490955e-04 1.0000000e+00],[5.19850139e-03 1.75069666e-04 4.80422075e-02 9.51957792e-01],5823.277915638234,4447.314186906854,191,2568810,578.0,734,0.0,False,False,0.00016665893309710544,193.27380084691407
4023,1372.1546893466184,[0.0530653 1.       ],[0.06764434 0.03754065 0.50789977 0.49210023],24985.223538537433,23613.068849190815,3868,841972,186.0,44664,10.0,False,False,0.018473763088357,1979.719225725977
4023,1360.211188763853,[0.02004025 1.        ],[0.02668594 0.01171947 0.53942273 0.46057727],22104.76436374502,20744.553174981167,3468,1289580,280.0,25788,6.0,False,False,0.005397720865034782,1852.9023599818697
4023,1355.814097638111,[0.9337712 1.       ],[0.96420175 0.91151252 0.42697603 0.57302397],21717.629621853273,20361.815524215162,4023,335262,74.0,313058,70.0,False,True,0.5223185223208372,1717.7245828518232
4023,1344.0504364559056,[0.00777818 1.        ],[0.01408833 0.00265489 0.46878327 0.53121673],15889.404979029481,14545.354542573576,2199,922890,206.0,6996,2.0,False,False,0.0014103233976172672,1885.9151102506135
4019,1330.7285971192687,[0.02836966 1.        ],[0.01139236 0.03698841 0.3890374  0.6109626 ],19567.457899671033,18236.729302551765,3040,623268,132.0,17584,4.0,False,False,0.004432055372839844,1563.5413096723412
4023,1319.1496175950197,[0.17300781 1.        ],[0.19708313 0.14687594 0.50792814 0.49207186],29313.936654219306,27994.787036624286,4016,856844,190.0,148240,32.0,False,True,0.07227351892381001,1979.6050816512197
4023,1317.6727976358015,[0.00693299 1.        ],[0.00392549 0.01379255 0.69788714 0.30211286],16484.864217064474,15167.191419428673,2295,1291622,282.0,8782,2.0,False,False,0.0027395523026818094,1215.4000331768277
4021,1315.6885868665158,[0.23922387 1.        ],[0.26946407 0.20203333 0.53140536 0.46859464],28821.826115696844,27506.137528830328,4012,605236,132.0,144786,30.0,False,True,0.09467173577489761,1884.219054400163
3984,1307.9812802625129,[0.04564426 1.        ],[0.07213077 0.016772   0.49462312 0.50537688],16287.185309096685,14979.204028834172,2352,199438,44.0,8940,2.0,False,False,0.008476179390161162,1970.5785085935206
3971,1285.970639520452,[0.04754779 1.        ],[0.06997616 0.01922683 0.52317731 0.47682269],17191.927802331826,15905.957162811374,2594,240762,52.0,11310,2.0,False,False,0.009167787389504049,1893.4629042058468
4023,1266.254214074179,[8.30159508e-04 1.00000000e+00],[8.94769306e-03 3.38644571e-04 5.32803908e-02 9.46719609e-01],5863.049551328663,4596.795337254484,196,1342754,294.0,732,0.0,False,False,0.00032060145554362973,214.34701211328013
4021,1257.624359263893,[0.10803005 1.        ],[0.1264491  0.07809015 0.6000619  0.3999381 ],25991.218175488368,24733.593816224475,3958,613832,134.0,66306,14.0,False,False,0.03123122842028458,1608.1511195256196
4021,1250.488105075041,[0.55955964 1.        ],[0.5939137  0.51711813 0.55552733 0.44447267],30216.31193227991,28965.82382720487,4020,618726,136.0,346214,76.0,False,True,0.2298448777930221,1787.2246052747291
4020,1242.4977251350901,[0.03143133 1.        ],[0.01506556 0.04116446 0.42521125 0.57478875],19989.14914943064,18746.65142429555,3155,625570,132.0,19576,4.0,False,False,0.00640604348433379,1709.349225103736
4021,1235.615683311251,[0.0724228 1.       ],[0.08798386 0.04863953 0.60024432 0.39975568],24609.505902685,23373.89021937375,3894,626028,138.0,45326,10.0,False,False,0.019443928692431472,1607.417595868681
